epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
88,2435.73,0.66689,1.15098,0.71914,1.10532,0,0.89233,0.91262,0.95781,0.77588,0.90183,0.92233,0.95442,0.78607,0.57599,0.93316,0.47204,0.99334,0,0.0002774,0.0002774,0.0002774
89,2463.17,0.65369,1.12684,0.69785,1.09866,0,0.92283,0.8932,0.96391,0.78735,0.92283,0.8932,0.96002,0.7935,0.53712,0.91546,0.39441,0.95769,0,0.0002576,0.0002576,0.0002576
90,2490.56,0.62904,1.10147,0.65326,1.08847,0,0.9149,0.86408,0.92503,0.78233,0.93566,0.8835,0.94401,0.78359,0.53001,0.92219,0.45171,0.96097,0,0.0002378,0.0002378,0.0002378
91,2518.43,0.61049,1.00686,0.59024,1.10023,0,0.87639,0.93204,0.95494,0.81122,0.88007,0.92624,0.95999,0.8068,0.51021,0.85823,0.60323,0.93226,0,0.000218,0.000218,0.000218
92,2545.88,0.58197,0.96839,0.5659,1.07316,0,0.89711,0.90291,0.95272,0.81043,0.90675,0.91262,0.96003,0.81202,0.57699,0.86522,0.66604,0.98556,0,0.0001982,0.0001982,0.0001982
93,2573.26,0.57425,0.98319,0.49377,1.05141,0,0.93213,0.87379,0.95825,0.80339,0.93213,0.87379,0.95695,0.81385,0.57618,0.85814,0.49381,0.98094,0,0.0001784,0.0001784,0.0001784
94,2600.62,0.58763,0.94721,0.49799,1.07069,0,0.93723,0.86983,0.96064,0.80399,0.93723,0.86983,0.96357,0.80909,0.57683,0.86232,0.48455,0.99836,0,0.0001586,0.0001586,0.0001586
95,2627.95,0.57763,0.94199,0.47839,1.06324,0,0.85795,0.93823,0.95377,0.80412,0.94403,0.86408,0.95707,0.80078,0.58777,0.88023,0.46023,1.00489,0,0.0001388,0.0001388,0.0001388
96,2655.3,0.56319,0.94621,0.47641,1.05767,0,0.92833,0.88029,0.94987,0.80075,0.93857,0.88999,0.95571,0.80672,0.58044,0.86531,0.45237,1.00608,0,0.000119,0.000119,0.000119
97,2682.66,0.54847,0.92481,0.45086,1.0351,0,0.90403,0.87379,0.94481,0.7977,0.91408,0.8835,0.95013,0.79815,0.56701,0.86252,0.41687,0.99617,0,9.92e-05,9.92e-05,9.92e-05
98,2710.01,0.54421,0.91573,0.46111,1.03833,0,0.8776,0.92233,0.95201,0.7872,0.88683,0.93204,0.9548,0.7931,0.56797,0.85689,0.44187,0.99534,0,7.94e-05,7.94e-05,7.94e-05
99,2737.61,0.53557,0.88387,0.46445,1.02034,0,0.91766,0.86563,0.9416,0.781,0.92795,0.87534,0.94663,0.78752,0.60948,0.88948,0.4539,1.02455,0,5.96e-05,5.96e-05,5.96e-05
100,2765.21,0.54725,0.92197,0.45856,1.04772,0,0.93551,0.87379,0.94975,0.79309,0.94664,0.8835,0.95466,0.7951,0.58158,0.87268,0.42069,1.00559,0,3.98e-05,3.98e-05,3.98e-05
